codigo_postal;municipio_nombre
00043;Pobla de Massaluca, La
00085;Fariza
00633;Albelda de Iregua
01001;Vitoria-Gasteiz
01002;Vitoria-Gasteiz
01003;Vitoria-Gasteiz
01004;Vitoria-Gasteiz
01005;Vitoria-Gasteiz
01006;Vitoria-Gasteiz
01007;Vitoria-Gasteiz
01008;Vitoria-Gasteiz
01009;Vitoria-Gasteiz
01010;Vitoria-Gasteiz
01012;Labastida/Bastida
01012;Vitoria-Gasteiz
01013;Vitoria-Gasteiz
01015;Vitoria-Gasteiz
01110;Campezo/Kanpezu
01117;Campezo/Kanpezu
01117;Harana/Valle de Arana
01118;Bernedo
01118;Lagrán
01118;Condado de Treviño
01120;Arraia-Maeztu
01121;Berantevilla
01128;Bernedo
01128;Campezo/Kanpezu
01128;Arraia-Maeztu
01129;Arraia-Maeztu
01130;Zuia
01138;Zigoitia
01139;Zuia
01160;Aramaio
01165;Aramaio
01169;Aramaio
01170;Legutio
01171;Legutio
01191;Vitoria-Gasteiz
01191;Iruña Oka/Iruña de Oca
01192;Elburgo/Burgelu
01192;Vitoria-Gasteiz
01193;Alegría-Dulantzi
01193;Elburgo/Burgelu
01193;Iruraiz-Gauna
01193;Vitoria-Gasteiz
01194;Bernedo
01194;Vitoria-Gasteiz
01195;Vitoria-Gasteiz
01195;Iruña Oka/Iruña de Oca
01196;Zigoitia
01196;Vitoria-Gasteiz
01200;Agurain/Salvatierra
01206;Barrundia
01206;Iruraiz-Gauna
01207;Iruraiz-Gauna
01207;Agurain/Salvatierra
01207;San Millán/Donemiliaga
01208;Asparrena
01208;Barrundia
01208;San Millán/Donemiliaga
01208;Zalduondo
01211;Armiñón
01211;Berantevilla
01211;Lagrán
01211;Peñacerrada-Urizaharra
01211;Condado de Treviño
01212;Berantevilla
01212;Labastida/Bastida
01212;Peñacerrada-Urizaharra
01212;Zambrana
01213;Erriberagoitia/Ribera Alta
01213;Ribera Baja/Erribera Beitia
01213;Lantarón
01216;Bernedo
01216;Peñacerrada-Urizaharra
01220;Armiñón
01220;Berantevilla
01220;Erriberagoitia/Ribera Alta
01220;Ribera Baja/Erribera Beitia
01230;Iruña Oka/Iruña de Oca
01240;Alegría-Dulantzi
01250;Asparrena
01260;Asparrena
01300;Laguardia
01306;Lapuebla de Labarca
01307;Baños de Ebro/Mañueta
01307;Samaniego
01307;Villabuena de Álava/Eskuernaga
01308;Kripan
01308;Laguardia
01308;Lanciego/Lantziego
